1,2,3,4,5,6,7,8,9,10,11,12,13,14,response
4136.4,4150.8,4160,4156.9,4151.8,4155.4,4139.5,4154.9,4159.5,4172.3,4214.4,4935.4,4154.4,4187.7,0
4142.1,4150.8,4160.5,4160.5,4151.3,4154.4,4141.5,4152.8,4159.5,4170.8,4215.4,4933.8,4148.7,4185.6,0
4147.7,4150.3,4159,4162.6,4150.8,4153.8,4141.5,4153.3,4161.5,4172.8,4214.9,4936.9,4147.7,4180.5,0
4146.2,4150.8,4158.5,4160,4149.7,4153.3,4135.9,4154.9,4159,4178.5,4215.4,4937.9,4151.3,4180.5,0
4142.1,4151.3,4161,4154.4,4151.3,4154.4,4132.3,4153.8,4155.4,4174.4,4216.4,4935.4,4153.3,4187.2,0
4144.1,4151.3,4160.5,4153.8,4149.2,4154.9,4133.3,4152.3,4154.9,4169.7,4215.9,4932.3,4154.4,4192.8,0
4139,4151.3,4159,4153.8,4144.6,4152.8,4129.7,4153.3,4160,4172.8,4216.4,4932.8,4155.9,4196.4,0
4136.4,4151.3,4161.5,4153.3,4143.6,4152.3,4130.3,4153.3,4156.4,4171.8,4216.9,4931.3,4156.4,4202.1,0
4142.1,4150.3,4163.1,4151.8,4148.2,4153.8,4134.4,4152.3,4153.3,4168.7,4214.9,4932.8,4153.3,4200.5,0
4141.5,4151.3,4162.1,4152.8,4147.7,4154.9,4135.4,4153.3,4157.4,4171.3,4213.8,4934.4,4152.8,4197.9,0
4141,4151.3,4160.5,4152.8,4145.1,4154.9,4134.9,4153.8,4161.5,4173.8,4215.4,4934.9,4154.9,4195.9,0
4150.8,4150.8,4158.5,4152.8,4145.6,4154.9,4136.4,4152.3,4155.9,4171.8,4214.9,4935.9,4152.8,4192.3,0
4154.9,4151.3,4157.9,4152.3,4142.6,4154.9,4137.4,4153.3,4156.4,4170.3,4215.9,4936.4,4145.6,4187.7,0
4151.8,4151.8,4155.9,4156.4,4141,4155.4,4139,4155.9,4162.6,4172.8,4216.9,4934.4,4145.6,4186.7,0
4150.3,4150.8,4155.9,4161.5,4150.3,4155.4,4138.5,4156.4,4161.5,4175.9,4212.3,4935.9,4148.2,4184.1,0
4153.8,4150.3,4156.9,4163.6,4154.9,4155.9,4140.5,4154.4,4156.4,4174.4,4210.3,4935.4,4145.1,4175.9,0
4155.4,4150.8,4154.9,4165.1,4144.6,4156.4,4143.1,4152.3,4159,4171.8,4215.4,4933.8,4143.1,4171.3,0
4149.2,4151.3,4157.4,4163.1,4141.5,4154.9,4141,4152.8,4161.5,4171.3,4216.9,4934.9,4147.7,4177.4,0
4145.6,4150.3,4164.1,4161,4147.7,4153.8,4138.5,4153.3,4159,4171.3,4213.3,4935.9,4147.7,4183.1,0
4152.3,4150.3,4162.6,4159,4146.7,4153.8,4139.5,4153.8,4157.9,4171.3,4214.4,4932.3,4145.6,4180.5,0
